species,ind
acanthorhynchus tenuirostris,30240
accipiter cooperii,86400
accipiter gentilis,100800
accipiter nisus,36000
accipiter striatus,35280
acinonyx jubatus,691200
aconaemys fuscus,86400
acridotheres tristis,64800
acris gryllus,5760
acrocephalus arundinaceus,20160
actitis macularius,40320
aedes albopictus,11520
aegolius acadicus,70560
aegolius funereus,65520
aegypius monachus,284400
aethia cristatella,86400
aethia pusilla,41040
agapornis fischeri,45360
agapornis roseicollis,86400
agelaius phoeniceus,20160
agelaius tricolor,20160
ailurus fulgens,777600
aimophila aestivalis,51840
aix sponsa,90720
alauda arvensis,36000
alces alces,518400
alces americanus,518400
alle alle,41760
alopias vulpinus,2.5
alouatta caraya,518400
alpheus heterochaelis,6480
amazilia tzacatl,83520
amazona aestiva,90720
amazona farinosa,86400
amazona ochrocephala,86400
ambloplites rupestris,13680
ambystoma mexicanum,17280
ambystoma talpoideum,648000
ameiurus melas,20160
ameiurus nebulosus,13536
ammodramus nelsoni,43200
ammophila procera,7200
ammospermophilus nelsoni,35280
amphiprion frenatus,14400
anarhynchus frontalis,57600
anas discors,57600
anas formosa,45360
anas fulvigula,97920
anastomus oscitans,86400
anhima cornuta,518400
anodorhynchus hyacinthinus,777600
anous minutus,206640
anser albifrons,907200
anser canagicus,79200
anser cygnoides,105840
anser fabalis,108000
anser indicus,82800
antaresia perthensis,20160
anthropoides virgo,388800
anthus spragueii,15120
antilocapra americana,648000
antrozous pallidus,518400
aonyx capensis,518400
aotus nancymaae,25920
aotus nigriceps,181440
aphelocoma californica,28800
aphelocoma coerulescens,100800
aphonopelma chalcodes,6480
aplodinotus grunniens,8640
aptenodytes patagonicus,648000
apteryx haastii,345600
aquila audax,194400
aquila chrysaetos,80640
aquila rapax,172800
ara ararauna,14400
ara glaucogularis,518400
ara macao,777600
aratinga solstitialis,95760
archilochus colubris,7920
arctocephalus forsteri,410400
arctocephalus galapagoensis,1296000
arctocephalus philippii,367200
arctonyx collaris,237600
ardea cinerea,95760
ardeotis kori,518400
arenaria interpres,28800
argyroneta aquatica,30240
arion lusitanicus,57600
arvicanthis niloticus,108000
asellia tridens,55440
asio flammeus,37
asio otus,85680
atelerix frontalis,79200
ateles hybridus,777600
ateles paniscus,712800
athene cunicularia,76320
athene noctua,141120
atherurus macrourus,777600
atypus affinis,388800
aythya affinis,35280
aythya collaris,55440
aythya fuligula,61920
balaeniceps rex,180000
balaenoptera bonaerensis,1036800
balaenoptera edeni,259200
balaenoptera musculus,1296000
balaenoptera physalus,302400
bettongia gaimardi,224640
bettongia lesueur,259200
bison bison,518400
blattella germanica,93600
bombycilla cedrorum,11520
bos taurus,518400
brachypelma klaasi,30240
brachypelma smithi,20160
bradypus torquatus,410400
bradypus variegatus,129600
branta canadensis,518400
branta sandvicensis,518400
bubalus mindorensis,1555200
bubo blakistoni,777600
bubo bubo,453600
bubo virginianus,75600
bucephala albeola,45360
bucephala clangula,35280
bucephala islandica,87120
buceros bicornis,151200
bucorvus abyssinicus,1555200
bucorvus leadbeateri,4665600
bugeranus carunculatus,216000
bunopithecus hoolock,4406400
buteo jamaicensis,100800
buteo lagopus,90000
buteo lineatus,181440
butorides sundevalli,20160
butorides virescens,46800
bycanistes subcylindricus,172800
cacatua alba,162000
cacatua leadbeateri,80640
caiman crocodilus,777600
cairina moschata,110880
calcarius ornatus,34560
calidris alba,27360
calidris alpina,750
calidris maritima,37440
callaeas cinereus,110880
callicebus cupreus,1036800
callinectes sapidus,86400
callithrix kuhlii,518400
callorhinus ursinus,151200
callosciurus notatus,60480
calomyscus bailwardi,259200
caluromys derbianus,172800
caluromys philander,226800
camelus dromedarius,777600
campephilus principalis,518400
capra caucasica cylindricornis,777600
capra hircus,432000
capricornis crispus,518400
caprimulgus carolinensis,20160
caprimulgus europaeus,46080
caracal caracal,410400
cardinalis cardinalis,58320
cardisoma guanhumi,20160
carduelis tristis,60480
carpiodes cyprinus,14400
carybdea sivickisi,5760
castor canadensis,1036800
castor fiber,907200
casuarius bennetti,496800
casuarius casuarius,388800
casuarius unappendiculatus,388800
cathartes aura,122400
catoptrophorus semipalmatus,40320
catopuma temminckii,518400
cavia aperea,46080
cavia intermedia,43200
cebus capucinus,3628800
cebus xanthosternos,388800
centrocercus minimus,110880
cephalorhynchus hectori,777600
cercartetus concinnus,36000
cercopithecus nictitans,2073600
cercopithecus wolfi,259200
certhia americana,20160
cervus nippon,475200
ceryle rudis,86400
charadrius pecuarius,60480
charadrius semipalmatus,14400
charadrius vociferus,36720
cheiracanthium inclusum,24480
cheirogaleus major,64800
chironectes minimus,76320
chiropotes albinasus,129600
chlorocebus sabaeus,518400
choloepus hoffmanni,324000
chordeiles minor,43200
chromis cyanea,46080
chrysaora quinquecirrha,1200
ciccaba nigrolineata,54720
ciconia ciconia,90720
ciconia nigra,30240
cinclus cinclus,17640
coccyzus erythropthalmus,32400
coendou prehensilis,151200
condylura cristata,43200
connochaetes taurinus,345600
conus geographus,28800
coracias cyanogaster,57600
corvus caurinus,110880
corvus corax,60480
