species,lifespan
acanthaster planci,16
acanthurus coeruleus,13.5
acartia tonsa,0.13
accipiter cooperii,1.3
accipiter gentilis,11
accipiter nisus,3
accipiter striatus,3
achatina fulica,10
achatinella mustelina,10
acinonyx jubatus,8
acipenser fulvescens,82
acipenser transmontanus,100
acridotheres tristis,4
acris gryllus,0.33
acrobates pygmaeus,4
acrocephalus arundinaceus,2.4
actitis hypoleucos,8
actitis macularius,9.08
aechmophorus occidentalis,11
aedes albopictus,0.1
aedes triseriatus,0.07
aegithalos caudatus,2.5
aegolius acadicus,10.33
aegolius funereus,3.4
aegypius monachus,20
aepyceros melampus,15
aepyprymnus rufescens,6
aeropedellus clavatus,3.5
aeshna umbrosa,1.42
aethia cristatella,7.7
aethia pusilla,4.5
agamia agami,16
agapornis fischeri,12.6
agelaioides badius,6
agelaius phoeniceus,2.14
agelaius tricolor,13
agkistrodon contortrix,18
agkistrodon piscivorus,24.5
aglantha digitale,1
ailuropoda melanoleuca,12.5
ailurus fulgens,14
aimophila aestivalis,3
aimophila ruficeps,3.17
aix sponsa,22.5
ajaia ajaja,15.83
akodon azarae,0.79
alasmidonta heterodon,15
alauda arvensis,10.2
albula vulpes,7.5
alca torda,7.33
alcedo atthis,7
alcelaphus buselaphus,20
alces alces,22
alces americanus,10
allactodipus bobrinskii,2.5
alle alle,16
allenopithecus nigroviridis,23
alligator mississippiensis,42.5
alligator sinensis,50
alopias vulpinus,25
alosa chrysochloris,6
alosa pseudoharengus,10
alosa sapidissima,10
alouatta guariba,17.5
alouatta palliata,20
alouatta pigra,20
alouatta seniculus,25
alpheus heterochaelis,4
altica subplicata,0.58
alytes obstetricans,5
amazona autumnalis,27
amazona ochrocephala,56
ambloplites rupestris,6.5
amblyomma cajennense,1
amblyopsis rosae,10
ambystoma gracile,5
ambystoma maculatum,30
ambystoma talpoideum,15
ameiurus melas,5
ameiurus natalis,4
ameiurus nebulosus,7
amia calva,30
ammodorcas clarkei,11
ammodramus henslowii,7
ammodramus nelsoni,8
ammodramus savannarum,2.9
ammospermophilus harrisii,3
ammospermophilus nelsoni,0.67
ammotragus lervia,10
amphilina foliacea,23
amphiprion akindynos,8
amphiprion clarkii,11.5
amphiprion frenatus,8
amphiprion ocellaris,8
amphiprion percula,8
amphispiza bilineata,6
anarhynchus frontalis,5.4
anartia jatrophae,0.21
anas acuta,22.25
anas americana,21
anas clypeata,18.58
anas crecca,20.25
anas cyanoptera,12.92
anas discors,17.4
anas fulvigula,2.03
anas laysanensis,11.83
anas penelope,35.17
anas platyrhynchos,26.33
anas rubripes,26.42
anas strepera,19.5
anax junius,0.08
anaxyrus americanus,1
anaxyrus canorus,15
anaxyrus terrestris,0
andrias japonicus,4.17
anelosimus eximius,0.2
anguilla anguilla,85
anhinga anhinga,11.92
anhinga melanogaster,9
anodorhynchus hyacinthinus,50
anolis carolinensis,5.5
anopheles quadrimaculatus,0.04
anoplophora glabripennis,0.17
anous minutus,25
anser albifrons,20.3
anser anser,20.28
anser caerulescens,19.5
anser canagicus,6
anser fabalis,25.6
anser indicus,20
anseranas semipalmata,32
antaresia perthensis,25
antechinomys laniger,5.58
antheraea polyphemus,0.25
anthopleura xanthogrammica,150
anthropoides virgo,
anthus spinoletta,8.8
antidorcas marsupialis,20
antilocapra americana,16
antilope cervicapra,15
antrozous pallidus,9
aonyx capensis,11
aotus nigriceps,11
aotus trivirgatus,20
apalone spinifera,50
aphelocoma californica,15.75
aphelocoma coerulescens,4.5
aphelocoma ultramarina,17.58
aphredoderus sayanus,4
apis mellifera,2.5
aplodinotus grunniens,13
aplodontia rufa,10
aplysia californica,1
apodemus sylvaticus,1
aptenodytes forsteri,19.9
apteryx australis,20
apteryx haastii,20
apus apus,21
aquila audax,5.9
aquila chrysaetos,28.33
aquila heliaca,56
aquila pomarina,22.5
aquila rapax,16
ara ararauna,32.5
ara macao,33
ara rubrogenys,50
aramides cajanea,3.7
araneus marmoreus,0.5
aratinga pertinax,10
archilochus alexandri,10.08
archilochus colubris,9.08
arctictis binturong,18
arctocebus calabarensis,13
arctocephalus australis,21
arctocephalus galapagoensis,22
arctocephalus gazella,25
arctocephalus pusillus,18
arctocephalus tropicalis,17.5
ardea alba,15
ardea cinerea,5
ardea herodias,15
arenaria interpres,19.75
arion lusitanicus,1
arion subfuscus,0.83
arizona elegans,14.5
armadillidium vulgare,1.5
artibeus jamaicensis,8
arvicanthis niloticus,0.85
arvicola amphibius,0.45
ascaris lumbricoides,1
asio flammeus,4.42
asio otus,11.08
aspidites melanocephalus,25
asterina gibbosa,7
atelerix frontalis,3
ateles hybridus,27
ateles paniscus,20
athene cunicularia,11
athene noctua,15.58
atherurus macrourus,15
atlides halesus,0.07
atractoscion nobilis,12
atractosteus spatula,26
atta sexdens,12.5
atta texana,5.5
atypus affinis,8
aulacorhynchus prasinus,11
aurelia labiata,1
auriparus flaviceps,3
automeris io,0.03
axis porcinus,20
aythya affinis,18.33
aythya americana,22.58
aythya collaris,20.42
aythya valisineria,22.6
babyrousa babyrussa,24
balaena mysticetus,200
balaeniceps rex,35.7
balaenoptera acutorostrata,45
balaenoptera bonaerensis,73
balaenoptera borealis,70
balaenoptera edeni,72
balaenoptera musculus,85
balaenoptera physalus,75
balearica regulorum,22
barbastella barbastellus,21
basiliscus basiliscus,7
bassaricyon gabbii,10
bassariscus astutus,7
bassariscus sumichrasti,23
batrachoseps campi,8.5
berardius bairdii,71
bettongia gaimardi,4.5
