species,offspring
abrocoma cinerea,2.2
acanthorhynchus tenuirostris,2
acartia tonsa,35
accipiter cooperii,4.5
accipiter gentilis,3
accipiter nisus,4.5
accipiter striatus,4.5
acerodon jubatus,1
achatina fulica,200
acinonyx jubatus,2.1
acipenser fulvescens,350000
acomys cahirinus,3
acomys russatus,2.5
aconaemys fuscus,4
acridotheres tristis,4.5
acris gryllus,150
acrobates pygmaeus,3
acrocephalus arundinaceus,4.5
acrochordus granulatus,6
actitis hypoleucos,4
actitis macularius,20
addax nasomaculatus,1
aechmophorus occidentalis,3
aedes albopictus,122.5
aegithalos caudatus,10
aegolius acadicus,5
aegolius funereus,5
aegypius monachus,1
aepyceros melampus,1
aepyprymnus rufescens,1
aethia cristatella,1
aethia pusilla,1
aetobatus narinari,2
agamia agami,2
agapornis fischeri,6
agapornis personatus,5.5
agapornis roseicollis,5
agasicles hygrophila,1000
agelaioides badius,4
agelaius phoeniceus,4
agelaius tricolor,3
agkistrodon contortrix,6
agkistrodon piscivorus,7
ailuroedus crassirostris,2.5
ailuropoda melanoleuca,1.7
ailurops ursinus,1.5
ailurus fulgens,2
aimophila aestivalis,3.9
aimophila ruficeps,3
aix galericulata,10.5
aix sponsa,12
ajaia ajaja,3
akodon azarae,3.5
akodon cursor,3
akodon montensis,5
akodon philipmyersi,3
alauda arvensis,3
alca torda,1
alcedo atthis,6
alcelaphus buselaphus,1
alces alces,1
alces americanus,1
alectoris chukar,10.5
allactaga elater,4.5
allactaga euphratica,5
allactodipus bobrinskii,5.3
alle alle,1
allenopithecus nigroviridis,1
alligator mississippiensis,61.5
alligator sinensis,25
allocebus trichotis,1
alopias vulpinus,1.5
alopochen aegyptiaca,8.5
alosa chrysochloris,150000
alosa pseudoharengus,185000
alosa sapidissima,77
alouatta belzebul,1
alouatta caraya,1
alouatta guariba,1
alouatta palliata,1
alouatta pigra,1
alouatta seniculus,1
alpheus heterochaelis,101.5
altica subplicata,250
amandava amandava,5
amazilia saucerrottei,1.5
amazilia tzacatl,2
amazona aestiva,2.5
amazona autumnalis,3.5
amazona farinosa,3
amazona leucocephala,3
amazona ochrocephala,3
amazona vittata,3.5
ambloplites rupestris,2750
amblycercus holosericeus,3
amblyomma cajennense,20000
amblyopsis rosae,22.5
amblyornis macgregoriae,1.5
amblysomus hottentotus,2
ambystoma annulatum,150
ambystoma gracile,150
ambystoma maculatum,200
ambystoma mexicanum,200
ambystoma opacum,75
ambystoma talpoideum,450
ambystoma texanum,500
ambystoma tigrinum,37
ameiurus melas,3150
ameiurus natalis,500
ameiurus nebulosus,5025
ameiva ameiva,6
ammodorcas clarkei,1
ammodramus henslowii,4
ammodramus nelsoni,4
ammodramus savannarum,4.5
ammospermophilus harrisii,6.5
ammospermophilus interpres,9.5
ammospermophilus leucurus,8
ammospermophilus nelsoni,9
ammotragus lervia,1.01
amorphochilus schnablii,1
amphiprion akindynos,550
amphiprion clarkii,650
amphiprion frenatus,550
amphiprion percula,550
amphiprion perideraion,3000
amphispiza bilineata,3
amphiuma tridactylum,140
amyda cartilaginea,15.5
anarhynchus frontalis,2
anas acuta,8
anas americana,10
anas clypeata,11
anas crecca,10
anas cyanoptera,8
anas discors,10
anas falcata,8
anas flavirostris,6.5
anas formosa,7
anas fulvigula,9
anas laysanensis,4
anas penelope,9
anas platyrhynchos,9
anas rubripes,9.5
anas strepera,9
anastomus oscitans,3
anathana ellioti,3
anaxyrus americanus,6000
anaxyrus canorus,1750
anaxyrus cognatus,20000
anaxyrus quercicus,700
anaxyrus terrestris,2750
andrias japonicus,450
anelosimus eximius,35
anguilla anguilla,6000000
anguispira alternata,40
anhima cornuta,3
anhinga anhinga,4
anhinga melanogaster,3
anniella pulchra,2
anodorhynchus hyacinthinus,2
anolis carolinensis,7.5
anolis cristatellus,1
anomalurus beecrofti,1
anomalurus pusillus,2
anopheles quadrimaculatus,2100
anoplophora glabripennis,55
anoura geoffroyi,1
anous minutus,1
anser albifrons,5
anser anser,6
anser caerulescens,4
anser canagicus,5
anser cygnoides,5.5
anser fabalis,5
anser indicus,5.5
anseranas semipalmata,7
antaresia perthensis,4
antechinomys laniger,6
antechinus stuartii,7
antechinus swainsonii,8
antheraea polyphemus,3
anthopleura xanthogrammica,6000
anthrax albofasciatus,1900
anthropoides virgo,2
anthus spinoletta,4.5
anthus spragueii,4.5
antidorcas marsupialis,1.01
antilocapra americana,2
antilope cervicapra,1
antrozous pallidus,2
aonyx capensis,3
aonyx capensis congica,2.5
aonyx cinerea,2
aotus azarae,1.5
aotus lemurinus,1
aotus nancymaae,2
aotus nigriceps,1.5
aotus trivirgatus,1
apalone ferox,26
apalone mutica,20
apalone spinifera,23.5
aphelocoma californica,4.5
aphelocoma coerulescens,3.5
aphelocoma ultramarina,4.5
aphonopelma chalcodes,600
aphredoderus sayanus,250
apis mellifera,70000
aplodinotus grunniens,50000
aplodontia rufa,2.75
aplysia dactylomela,67000000
apodemus agrarius,5.7
apodemus sylvaticus,5.2
aptenodytes forsteri,1
aptenodytes patagonicus,1
apteryx australis,1
apteryx haastii,1
apus apus,2
aquila audax,2
aquila chrysaetos,2
aquila clanga,2
aquila pomarina,2
aquila rapax,2
ara ararauna,2.5
ara glaucogularis,2
ara macao,3
ara rubrogenys,2
aramides cajanea,5
aratinga nana,3.5
aratinga pertinax,4.5
aratinga solstitialis,3.5
arborimus longicaudus,2
archilochus colubris,23
arctictis binturong,2
arctocebus calabarensis,1
arctocephalus australis,1
arctocephalus forsteri,1
arctocephalus galapagoensis,1
arctocephalus gazella,1
arctocephalus philippii,1
arctocephalus pusillus,1
arctocephalus townsendi,1
arctocephalus tropicalis,1
arctonyx collaris,3
ardea alba,3.5
ardea cinerea,4
ardea goliath,3.5
ardea herodias,4
ardeotis kori,1.5
arenaeus cribrarius,408500
arenaria interpres,4
argiope aurantia,850
argulus foliaceus,125
argyroneta aquatica,325
arion lusitanicus,400
arizona elegans,8
armadillidium vulgare,100
artibeus jamaicensis,1
arvicanthis niloticus,5
arvicola amphibius,5
ascaphus truei,64.5
asellia tridens,1
asio flammeus,5.6
asio otus,5.5
aspidites melanocephalus,13
asterias amurensis,17500000
asterina gibbosa,1000
astrochelys yniphora,3.2
asturina nitida,1.2
atelerix albiventris,6
atelerix algirus,6.5
atelerix frontalis,4
ateles belzebuth,1
ateles fusciceps,1
ateles geoffroyi,1
ateles hybridus,1
ateles paniscus,1
athene cunicularia,6
athene noctua,3.3
atheris squamigera,8
atherurus africanus,1.5
atherurus macrourus,1.25
atilax paludinosus,2
atractosteus spatula,77000
aulacorhynchus prasinus,3.5
auriparus flaviceps,4
automeris io,300
avahi laniger,1
aviceda madagascariensis,2.5
axis axis,1.03
axis porcinus,1
aythya affinis,9
aythya americana,13
aythya collaris,9
aythya fuligula,9.5
aythya valisineria,8
babyrousa babyrussa,1.3
balaena mysticetus,1
balaeniceps rex,2
balaenoptera acutorostrata,1
balaenoptera bonaerensis,1
balaenoptera borealis,1
balaenoptera edeni,1
balaenoptera musculus,1
balaenoptera physalus,1
balearica regulorum,3
balionycteris maculata,1
barbastella barbastellus,2
basiliscus basiliscus,10
basiliscus vittatus,7.5
bassaricyon gabbii,1
bassariscus astutus,3
bassariscus sumichrasti,2
batrachoseps campi,12.5
bdeogale nigripes,1
beatragus hunteri,1
berardius bairdii,1
bettongia gaimardi,1
bettongia lesueur,1
bettongia penicillata,1
bison bison,1
bison bonasus,1
bitis gabonica,35
biziura lobata,4
blarina brevicauda,6
blarina carolinensis,4
blarina hylophaga,6.5
blarinomys breviceps,1
blastocerus dichotomus,1
blattella germanica,150
boisea trivittata,250
bolitotherus cornutus,1
bombina orientalis,147.5
bombycilla cedrorum,4
bombycilla garrulus,5
bonasa umbellus,11
bos frontalis,1
bos grunniens,1
bos javanicus,1
bos sauveli,1
bos taurus,1
boselaphus tragocamelus,1.3
bosmina longirostris,6
botaurus lentiginosus,4
bothriechis schlegelii,13
bothriopsis bilineata,9
bothrops asper,45.5
bothrops jararaca,12
brachycephalus ephippium,5
brachylagus idahoensis,6
brachypelma klaasi,600
brachypelma smithi,300
brachytarsomys albicauda,6
brachyteles arachnoides,1
bradypus pygmaeus,1
bradypus torquatus,1
bradypus tridactylus,1
bradypus variegatus,1
branta canadensis,5
branta leucopsis,4.5
branta sandvicensis,3
bubalus bubalis,1
bubalus depressicornis,1
bubalus mindorensis,1
bubalus quarlesi,1
bubo blakistoni,2
bubo bubo,3
bubo virginianus,3
bubulcus ibis,3
bucephala albeola,8
bucephala clangula,8.7
bucephala islandica,9
buceros bicornis,2
bucorvus abyssinicus,2
bucorvus leadbeateri,2
budorcas taxicolor,1
bugeranus carunculatus,1
bunolagus monticularis,1
bunopithecus hoolock,1.5
burramys parvus,3.5
buteo albonotatus,2
buteo brachyurus,2
buteo jamaicensis,3
buteo lagopus,4
buteo lineatus,3
buteo platypterus,2
buteo regalis,3
buteo swainsoni,3
buteogallus anthracinus,1
butorides sundevalli,6
butorides virescens,3
bycanistes subcylindricus,2
cabassous centralis,1
cabassous tatouay,1
cacajao calvus,1
cacajao melanocephalus,1
cacatua alba,2
cacatua galerita,2
cacatua leadbeateri,3.5
cacicus cela,1
caiman crocodilus,22
caiman latirostris,30
cairina moschata,27
calcarius ornatus,9
calidris alba,4
calidris alpina,4
calidris canutus rufa,4
calidris maritima,3.5
calidris pusilla,4
callaeas cinereus,6
callagur borneoensis,12
callicebus cupreus,1
callicebus donacophilus,1
callicebus moloch,1
callicebus personatus,1
callicebus torquatus,1
calligrapha philadelphica,275
callimico goeldii,1
callinectes sapidus,1
callipepla californica,14
callipepla gambelii,11
callisaurus draconoides,4
callithrix argentata,2
callithrix aurita,2
callithrix chrysoleuca,2
callithrix flaviceps,2
callithrix geoffroyi,2
callithrix humilis,1
callithrix jacchus,2
callithrix kuhlii,2
callithrix penicillata,2
callithrix pygmaea,2
callorhinchus milii,1.5
callorhinus ursinus,1.3
callosciurus finlaysonii,1
callosciurus notatus,2.2
callosciurus prevostii,1.8
calocitta formosa,3.5
calomyscus bailwardi,2.8
caluromys derbianus,3.3
caluromys philander,4.17
